id,nombre,id_ciudad,direccion,telefono,estado,id_consultor_mac,id_almacenista_mac,id_secretaria_mac,id_jefe_mac,id_user_mac,id_torre_mac,codigo_distribuidor,codigo_instalador,numero_contrato_inicial,numero_contrato_final,meta_prepago,meta_postpago,tipo_sede,id_sede_padre,sub_canal
315,SERVIMERCADEO CALL CENTER BARRANQUILLA 2,126,BARANQUILLA,3401222,Inactiva,0,0,0,0,35,0,33174,I004271,,,0,0,Secundaria,9,Call center
316,CALL CENTER BUENAVENTURA,1009,BUENAVENTURA,3401222,Inactiva,0,0,0,0,35,0,33183,I004283,,,0,0,Secundaria,2,Call center
317,SYM APARTADÓ,13,CALLE 95 # 105 A 12,3006989148,Inactiva,0,0,0,0,338,0,SYM1,,,,0,0,Principal,0,Otros
318,SYM BARRANQUILLA,126,CALLE 58 # 64 - 29 SANTA ANA,53858530,Inactiva,0,0,0,0,338,0,SYM2,,,,0,0,Principal,0,Otros
319,SYM BOGOTA,149,CALLE 40 # 21-31 BRR LA SOLEDAD,3218277051,Inactiva,0,0,0,0,338,0,SYM3,,,,0,0,Principal,0,Otros
320,SYM BUCARAMANGA,843,CALLE 89 # 25-135 BRR DIAMANTE 2,6516401,Inactiva,0,0,0,0,338,0,SYM4,SYM4,,,0,0,Principal,17,Otros
321,SYM CALI,1003,CL 47 # 5AN - 44 BARRIO LA FLORA,3703050,Activa,0,0,0,0,338,0,SYM5,SYM5,,,0,0,Principal,2,Otros
322,SYM CARTAGENA,150,MANZANA 37 LOTE 4 SOCORRO PLAN 250,        6768255,Inactiva,0,0,0,0,338,0,SYM6,,,,0,0,Principal,0,Otros
323,SYM CUCUTA,777,AV 0 # 14 - 42 LA PLAYA,5714123,Inactiva,0,0,0,0,338,0,SYM7,,,,0,0,Principal,0,Otros
324,SYM IBAGUE,956,MANZANA 13 CASA 17 ET 3 PRADERA DE SANTA RITA,3104974273,Inactiva,0,0,0,0,338,0,SYM8,,,,0,0,Principal,0,Otros
325,SYM MEDELLIN,1,CARRERA 80 # 47 – 13 LA FLORESTA,5812223,Activa,0,0,0,0,338,0,SYM9,,,,0,0,Principal,0,Otros
326,SYM MONTERIA,427,CALLE 24 # 3-48 BARRIO CENTRO,3178936309,Inactiva,0,0,0,0,338,0,SYM10,,,,0,0,Principal,0,Otros
327,SYM PASTO,713,CALLE 20 # 31-32 LAS CUADRAS,7364700,Inactiva,0,0,0,0,338,0,SYM11,,,,0,0,Principal,0,Otros
328,SYM PEREIRA,829,CARRERA 12 # 3-49,3401222,Activa,1307,0,0,0,338,0,SYM12,,,,0,0,Principal,0,Otros
329,SYM POPAYAN,361,CALLE 7 NORTE # 6A-09 CC PLAZA DEL FERROCARRIL ,8373038,Inactiva,0,0,0,0,338,0,SYM13,SYM13,,,0,0,Principal,0,Otros
330,SYM SANTA MARTA,654,AVD FERROCARRIL # 28C-28 LOCAL 1 EDF BABARIA PARK,3401222,Inactiva,0,0,0,0,338,0,SYM14,,,,0,0,Principal,0,Otros
331,SYM TUNJA,195,CALLE 25 # 9-39 BARRIO LAS NIEVES,3163895289,Inactiva,0,0,0,0,338,0,SYM15,,,,0,0,Principal,0,Otros
332,SYM VILLAVICENCIO,684,CALLE 71 SUR # 43ª – 12 BARRIO PORFIA,3148881884,Inactiva,0,0,0,0,338,0,SYM16,,,,0,0,Principal,0,Otros
333,SYM RIONEGRO,85,CARRERA 55 # 17-59 SAN ANTONIO DE PEREIRA,3178936309,Inactiva,1395,0,0,0,338,0,SYM14,,,,0,0,Principal,0,Otros
334,PAT SERVIMERCADEO COVEÑAS,935,COVEÑAS,3401222,Inactiva,0,0,0,0,35,0,33066,I004412,,,0,0,Secundaria,11,Subagente
335,PAT SERVIMERCADEO SINCELEJO,930,SINCELEJO,3401222,Inactiva,0,0,0,0,35,0,33120,I004412,,,0,0,Secundaria,11,Subagente
336,SERVIMERCADEO CALL CENTER SINCELEJO,930,SINCELEJO,3401222,Inactiva,0,0,0,0,35,0,33173,I004412,,,0,0,Secundaria,11,Call center
337,CALL CENTER SANTANDER DE QUILICHAO,391,SANTANDER DE QUILICHAO,3401222,Inactiva,0,0,0,0,35,0,39253,I004324,,,0,0,Secundaria,7,Call center
338,SYM BARRANCABERMEJA,849,CRR 34C # 50 BIS-12 LOCAL 6 CAMPO ALEGRE,,Inactiva,0,0,0,0,338,0,B001,,,,0,0,Principal,0,Otros
339,SYM MOSQUERA,512,CALLE 2DA # 7-64,,Inactiva,0,0,0,0,338,0,001M,,,,0,0,Principal,0,Otros
340,SYM GUAYAQUIL,1086,SECTOR C  URDESA LOMAS MZ 204 SL.6,,Inactiva,0,0,0,0,338,0,ec001,,,,0,0,Principal,0,Otros
341,SYM QUITO,1086,AVANIDA LOS ALMEDROS,,Inactiva,0,0,0,0,338,0,ec002,,,,0,0,Principal,0,Otros
342,PUNTO PRINCIPAL COMUNICACIONES IPIALES,740,IPIALES,3401222,Inactiva,0,0,0,0,35,0,39289,I004332,,,0,0,Secundaria,252,Subagente
343,SYM FUSAGASUGA,485,SYM FUSAGASUGA,,Inactiva,0,0,0,0,1215,0,3401522,,,,0,0,Secundaria,319,0
344,E2BPO MEDELÍN,1,CRA 80 NRO 57-13,,Inactiva,0,0,0,0,338,0,e2bpo1,,,,0,0,Principal,0,Otros
345,CORPORATIVO SERVIMERCADEO,149,CORPORATIVOS,3401222,Inactiva,0,0,0,0,35,0,39399,I004174,,,0,0,Secundaria,17,Otros
346,SERVIMERCADEO BOGOTA,149,CLL 169 # 48 A-31 GRANADA NORTE,3138280928,Activa,0,0,0,0,338,0,b001,,,,0,0,Principal,0,Otros
347,AVANTEL-WOM,1,CRA 80 NRO 57-13,6051118,Inactiva,0,0,0,0,338,0,wom001,,,,0,0,Principal,344,0
348,SYM CUENCA,10041,CALLE ESMERALDAS Y UNIDAD NACIONAL,0995769130,Inactiva,0,0,0,0,338,0,ec002,,,,0,0,Principal,0,Otros
349,SYM MANTA,10042,DIRECCION AV. 4 D E NOVIEMBRE Y C ALLE 115,0999003315,Inactiva,0,0,0,0,338,0,ec003,,,,0,0,Principal,0,Otros
350,SYM EL ORO,10043,URB SANTA INEZ MZ I V-8A-0 EV 25 DE JUNIO,984234916,Inactiva,0,0,0,0,1345,0,ecu004,,,,0,0,Principal,0,0
351,SYM PASTAZA,10044," PUYO, CLL CITAYACU ENTRE AV MANABI Y 20 DE JULIO ",0982495959,Inactiva,0,0,0,0,1345,0,eco005,,,,0,0,Principal,0,Otros
352,CONFIANZA Y COLABORACION PEREIRA,829,CARRERA 12 N° 3 - 49,00000000,Inactiva,0,0,0,0,338,0,cyc001,0,,,0,0,Principal,1,Otros
353,CONFIANZA Y COLABORACION - BUCARAMANGA,843,DIRECCION: CRA 36 #38-38 BRR EL PRADO,73401222,Inactiva,0,0,0,0,338,0,cc001,cc001,,,0,0,Principal,0,Otros
354,CONFIANZA Y COLABORACION - BOGOTA,149,DIRECCION: CLL 169 # 48A-31 TO 4 APT 414 GRANADA N,13401222,Inactiva,0,0,0,0,338,0,cc002,cc002,,,0,0,Principal,0,Otros
355,SYM MACHALA,10046,CDLA. SANTA INES MZ J VILLA 2A,0995140990,Inactiva,0,0,0,0,1345,0,Ecu006,,,,0,0,Principal,0,0
356,SYM AMBATO,10045,"PELILEP, CALLE CALICUCHIMA S/N Y RICAURTE PISO 2",0988192 163,Inactiva,0,0,0,0,1345,0,ecu007,,,,0,0,Principal,0,0
357,PEREIRA FT&H CONSULTING,829,CRA 12 # 3-49 LA REBECA,3401222,Activa,0,0,0,0,1345,0,ft-001,,,,0,0,Principal,0,0
358,39547 - PDV CORPORATIVOS SUROCCIDENTE,1003,CALI,3401222,Inactiva,0,0,0,0,35,0,39547,I004283,,,0,0,Secundaria,2,Otros
359,CONFIANZA Y COLABORACION MEDELLIN,1,CRA 80 # 47-13 LA FLORESTA,5812223,Inactiva,0,0,0,0,1345,0,cyc002,,,,0,0,Principal,0,Otros
360,CONFIANZA Y COLABORACION POPAYAN,361,CLL 7 # 6A-09 CC PLAZA DEL FERROCARRIL,3401222,Inactiva,0,0,0,0,1345,0,cyc003,,,,0,0,Principal,0,Otros
